ID,RANK,GRADES,MATH,CZECH,VR,SUM
819001,49,"12,0",28,44,36,"120,0"
819002,140,"10,6",23,35,35,"103,6"
819003,14,"12,0",44,41,34,"131,0"
819004,40,"12,0",32,41,36,"121,0"
819005,23,"12,0",34,46,36,"128,0"
819006,10,"12,0",44,42,35,"133,0"
819007,410,"8,2",11,10,23,"52,2"
819008,54,"12,0",34,41,32,"119,0"
819009,5,"9,0",42,49,37,"137,0"
819010,293,"12,0",21,25,22,"80,0"
819011,16,"12,0",38,44,36,"130,0"
819012,352,"10,2",11,17,31,"69,2"
819013,308,"8,6",18,24,27,"77,6"
819014,123,"11,4",33,32,30,"106,4"
819015,392,"12,0",7,19,22,"60,0"
819016,68,"12,0",32,34,38,"116,0"
819017,250,"11,4",22,20,32,"85,4"
819018,359,"8,4",16,18,26,"68,4"
819019,247,"12,0",25,23,26,"86,0"
819020,266,"9,4",18,27,29,"83,4"
819021,55,"10,6",36,33,39,"118,6"
819022,168,"12,0",24,28,35,"99,0"
819023,20,"12,0",36,45,36,"129,0"
819024,300,"4,6",24,21,29,"78,6"
819025,343,"7,8",20,16,28,"71,8"
819026,351,"8,4",15,19,27,"69,4"
819027,76,"12,0",29,36,37,"114,0"
819028,22,"12,0",31,44,41,"128,0"
819029,369,"11,2",7,27,21,"66,2"
819030,30,"12,0",48,27,37,"124,0"
819031,251,"8,4",19,28,30,"85,4"
819032,286,"10,6",21,32,18,"81,6"
819033,207,"12,0",21,27,33,"93,0"
819034,299,"12,0",11,27,29,"79,0"
819035,307,"8,8",9,33,27,"77,8"
819036,128,"12,0",32,27,34,"105,0"
819037,27,"12,0",43,37,35,"127,0"
819038,143,"8,4",28,32,35,"103,4"
819039,338,"7,8",21,17,27,"72,8"
819040,46,"12,0",29,41,38,"120,0"
819041,192,"12,0",25,34,25,"96,0"
819042,297,"10,6",17,28,24,"79,6"
819043,126,"12,0",20,36,38,"106,0"
819044,420,"4,6",12,12,18,"46,6"
819045,26,"12,0",36,39,40,"127,0"
819046,103,"12,0",30,31,36,"109,0"
819047,18,"12,0",42,44,32,"130,0"
819048,321,"11,4",10,28,26,"75,4"
819049,32,"12,0",36,43,33,"124,0"
819050,164,"10,4",26,31,32,"99,4"
819051,274,"12,0",20,24,27,"83,0"
819052,312,"12,0",15,22,28,"77,0"
819053,50,"12,0",35,38,35,"120,0"
819054,322,"11,2",6,29,29,"75,2"
819055,236,"7,6",21,28,31,"87,6"
819056,388,"5,0",15,21,20,"61,0"
819057,152,"12,0",34,33,23,"102,0"
819058,13,"12,0",35,42,42,"131,0"
819059,412,"3,4",10,15,23,"51,4"
819060,371,"12,0",8,15,31,"66,0"
819061,380,"12,0",11,15,25,"63,0"
819062,336,"10,0",19,24,20,"73,0"
819063,61,"12,0",44,30,32,"118,0"
819064,91,"10,4",39,32,30,"111,4"
819065,400,"5,4",10,18,24,"57,4"
819066,172,"11,2",19,35,33,"98,2"
819067,39,"11,2",35,42,33,"121,2"
819068,421,"11,2",9,8,18,"46,2"
819069,8,"12,0",38,42,41,"133,0"
819070,228,"8,6",16,32,32,"88,6"
819071,161,"12,0",33,22,33,"100,0"
819072,354,"11,2",9,23,26,"69,2"
819073,148,"11,2",30,29,32,"102,2"
819074,267,"8,4",21,27,27,"83,4"
819075,330,"6,8",14,23,30,"73,8"
819076,294,"12,0",24,24,20,"80,0"
819077,90,"10,6",31,38,32,"111,6"
819078,44,"12,0",38,38,33,"121,0"
819079,210,"12,0",28,27,26,"93,0"
819080,325,"8,4",18,19,29,"74,4"
819081,160,"10,6",36,26,28,"100,6"
819082,94,"12,0",32,35,32,"111,0"
819083,213,"12,0",31,25,24,"92,0"
819084,252,"12,0",23,22,28,"85,0"
819085,194,"11,4",23,32,29,"95,4"
819086,253,"12,0",24,25,24,"85,0"
819087,262,"10,0",23,23,28,"84,0"
819088,127,"12,0",18,35,40,"105,0"
819089,199,"12,0",28,26,29,"95,0"
819090,289,"12,0",10,29,30,"81,0"
819091,145,"10,6",37,24,31,"102,6"
819092,331,"10,8",18,22,23,"73,8"
819094,378,"12,0",7,15,29,"63,0"
819095,78,"12,0",34,37,31,"114,0"
819096,1,"10,6",40,47,44,"141,6"
819097,311,"9,2",20,22,26,"77,2"
819098,257,"7,2",24,27,26,"84,2"
819099,162,"11,0",32,27,30,"100,0"
819100,169,"12,0",23,29,35,"99,0"
819101,107,"12,0",30,34,33,"109,0"
819102,328,"12,0",8,27,27,"74,0"
819103,431,"5,0",5,2,21,"33,0"
819104,28,"12,0",45,35,34,"126,0"
819105,395,"12,0",0,20,27,"59,0"
819106,186,"12,0",20,37,28,"97,0"
819107,382,"12,0",16,16,19,"63,0"
